"","N0","N1","N2","sample_name","Bibury_Diversity"
"82",5145,193.069887089952,16.3552743109798,"JAR11.500",8.88050949287939
"83",9539,2326.8802453829,425.952535844751,"JAR4.100",11.7648153425875
"84",3710,354.83627115394,58.029206322728,"JAR4.500",10.1223242560557
"85",7557,1332.15990850297,175.732228607929,"JAR8.100",10.9244710533119
"86",3341,60.9379239607787,8.63097151705512,"JAR8.500",7.77799129861261
"87",7067,747.548284707505,165.342285311161,"KIN11.100",10.0353250115241
"88",1291,94.3925615640148,55.3108802803204,"KIN11.500",8.20189037765564
"89",8760,2040.22918784659,307.408621967483,"KIN13A.100",11.4023086460937
"90",5735,652.640537718005,79.7069774283379,"KIN13A.500",10.4568985228655
"91",7860,1769.88126087854,361.977994932219,"KIN13B.100",11.0598268129246
"92",5221,431.59560603318,107.076401683286,"KIN13B.500",9.8698428442036
"93",3059,193.25046665593,72.4085755451252,"KIN13C.500",8.76190181458527
"94",8752,2258.45311395359,262.931219273606,"KIN5.100",11.5556589565702
"95",3866,51.3244414144276,6.88106251118422,"KIN5.500",7.68018093393975
"96",10281,3993.30750545334,1054.61316379308,"OFU3A.100",12.0349895044102
"97",6312,1148.98928987884,191.113632984634,"OFU3A.500",10.9542389134523
"98",4683,207.088872808629,35.1973289108203,"OFU3B.500",8.96928772504302
"99",9571,1517.01054811141,63.4596673460934,"OFU3C.100",10.9936469164486
"100",5996,728.850454483876,59.7834678783462,"OFU3C.500",10.3349223933429
"101",9405,3799.78183466091,1158.52760957568,"OFU4.100",11.9784537092989
"102",2896,112.093819227741,31.2048429145237,"OFU4.500",8.22768266377856
"103",11069,4385.98431647673,1252.22749179202,"OLO4.100",12.2533414379851
"104",14599,4319.59199421449,836.215184657554,"OLO4.500",12.7426295971419
"105",9481,2951.12288707491,630.494082901934,"PAL1.100",11.7604598735163
"106",6733,646.738541241891,80.3383922117664,"PAL1.500",10.3002591640918
"107",9660,3259.5530207329,747.554382438704,"PAL17.100",11.9084533971884
"108",6500,579.810493101188,40.1417662734316,"PAL17.500",10.3556334512615
"109",8183,1101.23870661395,220.213274447639,"PAL19.100",10.619510224268
"110",2070,100.546659720417,52.3936685869492,"PAL19.500",7.9194829659751
"111",9107,3039.08528832127,738.902485697357,"ROS19.100",11.9531003421928
"112",7865,1383.03546185562,237.226634564213,"ROS19.500",11.3343149576559
"113",8509,2458.87507592716,522.64187524765,"ROS25.100",11.6730994311209
"114",3052,103.664124337934,12.5603266508799,"ROS4.500",8.59567727863306
"115",10063,4141.70741900137,1413.49710161532,"TUT1.100",12.2216132291941
"116",8157,1176.98093867563,198.061883859581,"TUT1.500",10.8665371360532
"117",6958,1130.92577392527,211.545154639047,"TUT1.SESSILE",10.9330622654969
"118",5734,945.420724220561,187.047392490264,"TUT11A.500",10.9953438558361
"119",4972,498.873844087768,79.6917167270488,"TUT11A.SESSILE",10.1684430169159
"120",8924,2821.39755625361,805.181466443304,"TUT11B.100",11.6585449568758
"121",7717,1801.90169218923,346.708090826805,"TUT11B.500",11.5283799463947
"122",8394,2348.42169087197,416.755392287431,"TUT11C.100",11.4764551844832
"123",7040,815.199096154808,88.0719747063693,"TUT11C.500",10.4975941094527
"124",8676,1863.73582793307,100.695783654189,"TUT22.100",11.262574902179
"125",4126,197.834771586938,47.2946458309044,"TUT22.500",8.84830488424728
"126",6035,1322.23288894458,396.26597219438,"TUT22.SESSILE",11.2121348097264
"127",10568,1546.39044800824,162.133226153978,"FFS12.100",11.0771325344864
"128",10437,1706.74096957393,344.387403938906,"FFS34.100",11.5345917082728
"129",10644,3534.51899887701,865.027966414197,"GUA2C.100",12.1166864241549
"130",11735,3128.28974716399,710.278227553089,"GUA5.100",12.1258956186212
"131",13131,3354.40722170503,617.266369826187,"GUA8A.100",12.2619544048545
"132",11648,3100.86498151229,623.727105200776,"GUA8B.100",12.0660637026498
"133",13050,2523.17511384356,178.259975845416,"GUA8C.100",11.96121927513
"134",9871,2616.29589429073,482.530517681807,"HAW22A.100",11.3742655825599
"135",11056,3847.51086341829,996.964319861658,"HAW24A.100",11.9975054039871
"136",12084,4113.05659605059,1050.79359775241,"HAW24B.100",12.1525855445854
"137",12590,2985.98415950214,454.674744806342,"HAW24C.100",11.9532511604171
"138",10995,3830.25676013645,1220.86246257144,"KAU2A.100",12.035087946773
"139",12633,3829.00930243668,1082.56277858614,"KAU6A.100",12.3230542968766
"140",9251,1770.59603791301,363.867883960707,"KUR12.100",11.308572652469
