"","eventID","Year","Month","RESET_score","date"
"181","Ransome_FFS12_FFS12A_100101_130101","2010","Oct",0.06,2010-10-01
"182","Ransome_FFS34_FFS34A_100101_130101","2010","Oct",0.08,2010-10-01
"183","Ransome_HAW22_HAW22B_100101_130101","2010","Oct",0.09,2010-10-01
"184","Ransome_HAW24_HAW24A_100101_130101","2010","Oct",0.02,2010-10-01
"185","Ransome_HAW24_HAW24B_100101_130101","2010","Oct",0.02,2010-10-01
"186","Ransome_HAW24_HAW24C_100101_130101","2010","Oct",0.02,2010-10-01
"187","Ransome_KAU02_KAU02A_100101_130101","2010","Oct",0.12,2010-10-01
"188","Ransome_KAU06_KAU06A_100101_130101","2010","Oct",0.21,2010-10-01
"189","Ransome_KAU08_KAU08A_100101_130101","2010","Oct",0.21,2010-10-01
"190","Ransome_KUR12_KUR12A_100101_130101","2010","Oct",0.13,2010-10-01
"191","Ransome_KUR33_KUR33A_100101_130101","2010","Oct",0.13,2010-10-01
"192","Ransome_LIS10_LIS10B_100101_130101","2010","Oct",0.08,2010-10-01
"193","Ransome_LIS14_LIS14B_100101_130101","2010","Oct",0.14,2010-10-01
"194","Ransome_MAI01_MAI01B_100101_130101","2010","Oct",0.15,2010-10-01
"195","Ransome_OAH12_OAH12B_100101_2013","2010","Oct",0.11,2010-10-01
"196","Ransome_PHR26_PHR26A_100101_130101","2010","Oct",0.11,2010-10-01
"197","Ransome_PHR33_PHR33A_100101_130101","2010","Oct",0.11,2010-10-01
"198","Ransome_PHR33_PHR33B_100101_130101","2010","Oct",0.11,2010-10-01
"199","Ransome_PHR33_PHR33C_100101_130101","2010","Oct",0.11,2010-10-01
"200","Ransome_PHR42_PHR42A_100101_130101","2010","Oct",0.08,2010-10-01
"201","Ransome_FFS12_FFS12A_100101_130101","2010","Nov",0.11,2010-11-01
"202","Ransome_FFS34_FFS34A_100101_130101","2010","Nov",0.14,2010-11-01
"203","Ransome_HAW22_HAW22B_100101_130101","2010","Nov",0.1,2010-11-01
"204","Ransome_HAW24_HAW24A_100101_130101","2010","Nov",0.01,2010-11-01
"205","Ransome_HAW24_HAW24B_100101_130101","2010","Nov",0.01,2010-11-01
